feed_title,feed_url,website_url
AI – VentureBeat,https://venturebeat.com/category/ai/feed/,https://venturebeat.com/
The Information,https://www.theinformation.com/feed,https://www.theinformation.com/
The New Stack,https://thenewstack.io/feed,https://thenewstack.io
The Verge - All Posts,https://www.theverge.com/rss/index.xml,http://www.theverge.com/
aibusiness,https://aibusiness.com/rss.xml,https://aibusiness.com/
Artificial Intelligence on TechRepublic,https://www.techrepublic.com/rssfeeds/topic/artificial-intelligence/,http://www.techrepublic.com/rssfeeds/topic/artificial-intelligence/
One Useful Thing,https://www.oneusefulthing.org/feed,https://www.oneusefulthing.org/
NYT > Technology,https://rss.nytimes.com/services/xml/rss/nyt/Technology.xml,https://www.nytimes.com/pages/technology/index.html?partner=rss&emc=rss
DeepMind Blog,https://deepmind.com/blog/rss.xml,https://www.deepmind.com/
ColdfusTion,https://www.youtube.com/feeds/videos.xml?channel_id=UC4QZ_LsYcvcq7qOsOhpAX4A,https://www.youtube.com/channel/UC4QZ_LsYcvcq7qOsOhpAX4A/videos
Stories by Dr. Marcel Müller on Medium,https://medium.com/feed/@marcelmueller,https://medium.com/@marcelmueller?source=rss-5f5a8adb223a------2
"""open ai"" - Google News",https://news.google.com/news/rss/search?q=open%20ai&hl=en,https://news.google.com/search?q=open+ai&hl=en-US&gl=US&ceid=US:en
Artificial intelligence (AI) | The Guardian,https://www.guardian.co.uk/technology/artificialintelligenceai/rss,https://www.theguardian.com/technology/artificialintelligenceai
Newsroom Robots,https://www.newsroomrobots.com/feed,https://www.newsroomrobots.com/
Latest from Tech & Learning in Ai,https://www.techlearning.com/feeds/tag/ai,https://www.techlearning.com/
Towards Data Science - Medium,https://towardsdatascience.com/feed,https://towardsdatascience.com/?source=rss----7f60cf5620c9---4
AI – KnowTechie,https://knowtechie.com/category/ai/feed/,https://knowtechie.com/
"Wonder Tools: Useful tiny tips for getting more done, better",https://wondertools.substack.com/feed/,https://wondertools.substack.com/
ESPN,https://sports.espn.go.com/espn/rss/news,https://espn.go.com/
The Media Copilot,https://rss.app/feeds/uzK3hdnawpNbaiB8.xml,https://www.youtube.com/@themediacopilot/videos
The New York Times,https://www.nytimes.com/services/xml/rss/nyt/HomePage.xml,https://www.nytimes.com/pages/index.html?partner=rss&emc=rss
"""artificial intelligence"" - Google News",https://news.google.com/news/rss/search?q=artificial%20intelligence&hl=en,https://news.google.com/search?q=artificial+intelligence&hl=en-US&gl=US&ceid=US:en
The Verge - Artificial Intelligences,https://www.theverge.com/rss/ai-artificial-intelligence/index.xml,https://www.theverge.com/ai-artificial-intelligence
404 Media,https://www.404media.co/rss/,https://www.404media.co/
Ahead of AI,https://magazine.sebastianraschka.com/feed,https://magazine.sebastianraschka.com/
Feed: Artificial Intelligence Latest,https://www.wired.com/feed/tag/ai/latest/rss,https://www.wired.com/tag/ai/latest
Online News Association,https://journalists.org/feed/,https://journalists.org/
Lex Fridman,https://lexfridman.com/feed/podcast/,https://lexfridman.com/
Ron Schmelzer,https://www.forbes.com/sites/ronschmelzer/feed/,https://www.forbes.com/sites/ronschmelzer/
Information Technology and Innovation Foundation Feed,https://itif.org/feed/rss.xml,https://itif.org/
Evanston RoundTable,https://evanstonroundtable.com/feed/,https://evanstonroundtable.com/
WIRED,https://www.wired.com/feed/rss,https://www.wired.com/
"""AI"" - Google News",https://news.google.com/news/rss/search?q=AI&hl=en,https://news.google.com/search?q=AI&hl=en-US&gl=US&ceid=US:en
Nieman Lab,https://www.niemanlab.org/feed/,https://www.niemanlab.org/
AI Goes to College,https://aigoestocollege.substack.com/feed,https://aigoestocollege.substack.com/
Last Week in AI,https://lastweekin.ai/feed,https://lastweekin.ai/
The Daily,https://feeds.simplecast.com/54nAGcIl,https://www.nytimes.com/the-daily
Artificial Intelligence on Medium,https://medium.com/feed/tag/artificial-intelligence,https://medium.com/tag/artificial-intelligence/latest?source=rss------artificial_intelligence-5
AI News,https://www.artificialintelligence-news.com/feed/,https://www.artificialintelligence-news.com/
Google AI Blog,https://googleaiblog.blogspot.com/atom.xml,https://ai.googleblog.com/
MIT News - Computer Science and Artificial Intelligence Laboratory (CSAIL),https://web.mit.edu/newsoffice/topic/mitcomputers-rss.xml,https://newsoffice.mit.edu/topic/mitcomputer-science-and-artificial-intelligence-laboratory-csail-rss.xml
World Economic Forum | Agenda | Artificial Intelligence and Robotics,https://www.weforum.org/agenda/archive/artificial-intelligence-and-robotics/feed,https://www.weforum.org/
One Useful Thing (And Also Some Other Things),https://oneusefulthing.substack.com/feed,https://oneusefulthing.substack.com/
Nate’s Substack,https://natesnewsletter.substack.com/feed,https://natesnewsletter.substack.com/
CNN,https://www.youtube.com/feeds/videos.xml?channel_id=UCupvZG-5ko_eiXAupbDfxWw,https://www.youtube.com/channel/UCupvZG-5ko_eiXAupbDfxWw/videos
Wall Street Journal Tech News Briefing,http://feeds.wsjonline.com/wsj/podcast_wall_street_journal_tech_news_briefing,http://online.wsj.com/page/audio.html
Technology - WSJ.com,https://feeds.content.dowjones.io/public/rss/RSSWSJD,https://www.wsj.com/tech
AI: A Guide for Thinking Humans,https://aiguide.substack.com/feed,https://aiguide.substack.com/
Reuters Institute for the Study of Journalism,http://mediapub.it.ox.ac.uk/feeds/129029/audio.xml,http://reutersinstitute.politics.ox.ac.uk/
artificial intelligence – TechCrunch,https://techcrunch.com/tag/artificial-intelligence/feed/,https://techcrunch.com/
MIT News - Artificial intelligence,https://news.mit.edu/rss/topic/artificial-intelligence2,https://news.mit.edu/topic/mitartificial-intelligence2-rss.xml
Anthropic News,https://rsshub.app/anthropic/news,https://anthropic.com/news
WSJ: World News,https://feeds.a.dj.com/rss/RSSWorldNews.xml,http://online.wsj.com/page/2_0006.html
Advertising | The Guardian,https://www.guardian.co.uk/media/advertising/rss,https://www.theguardian.com/media/advertising
CBSSports.com Headlines,https://www.cbssports.com/partners/feeds/rss/home_news,https://www.cbssports.com/partners/feeds/rss/home_news
The Economist: Science and technology,https://www.economist.com/science-and-technology/rss.xml,http://www.economist.com/
This Week in Machine Learning & AI,https://twimlai.com/feed/,https://twimlai.com/
Generative AI in the Newsroom - Medium,https://generative-ai-newsroom.com/feed,https://generative-ai-newsroom.com/?source=rss----df04cefca135---4
Financial Times: Markets,https://www.ft.com/markets?format=rss,https://www.ft.com/stream/sectionsId/NzE=-U2VjdGlvbnM=
Block Club Chicago,https://blockclubchicago.org/feed/,https://blockclubchicago.org/
Engadget,https://www.engadget.com/rss.xml,http://www.engadget.com/
Simon Willison's Weblog,https://simonwillison.net/atom/everything/,http://simonwillison.net/
Microsoft Research Blog - Microsoft Research,http://research.microsoft.com/rss/news.xml,https://www.microsoft.com/en-us/research/blog/
Chicago Tribune,https://www.chicagotribune.com/feed/,https://www.chicagotribune.com/
Generative AI - Medium,https://medium.com/feed/generative-ai,https://medium.com/generative-ai?source=rss----440100e76000---4
New York Times: Technology,http://xml.newsisfree.com/feeds/62/162.xml,http://www.nytimes.com/pages/technology/
Government Technology: State & Local Government News Articles,https://feeds.feedburner.com/govtech/blogs/lohrmann_on_infrastructure,https://feeds.feedburner.com/govtech/blogs/lohrmann_on_infrastructure
Artificial Intelligence Weekly,https://aiweekly.co/issues.rss,https://aiweekly.co/issues
Nieman Lab,https://feeds.feedburner.com/NiemanJournalismLab,https://www.niemanlab.org/
Local News Initiative,https://localnewsinitiative.northwestern.edu/feed.xml,https://localnewsinitiative.northwestern.edu/
The AI Daily Brief (Formerly The AI Breakdown): Artificial Intelligence News and Analysis,https://anchor.fm/s/f7cac464/podcast/rss,https://sites.libsyn.com/468519
TechCrunch,https://techcrunch.com/feed/,http://techcrunch.com/
uxdesign.cc – User Experience Design — Medium,https://uxdesign.cc/feed,https://uxdesign.cc/?source=rss----138adf9c44c---4
Marques Brownlee,https://www.youtube.com/feeds/videos.xml?channel_id=UCBJycsmduvYEL83R_U4JriQ,https://www.youtube.com/channel/UCBJycsmduvYEL83R_U4JriQ/videos
A Media Operator,https://www.amediaoperator.com/feed/,https://www.amediaoperator.com/
journalismAI.com,https://journalismai.com/feed/,https://journalismai.com/
Artificial intelligence (AI) | The Guardian,https://www.theguardian.com/technology/artificialintelligenceai/rss,http://www.theguardian.com/technology/artificialintelligenceai
FOX News,https://feeds.foxnews.com/foxnews/national,https://www.foxnews.com/
